; globals
;
;soundtrack music_mission_1.ogg
length 3650

; objects: small asteroids
;
collider {  100, 301,  -440,  -240, 65,60,70, 0,1,3, 130, 10 }
collider {  120, 301,   120,  -190, 25,30,35, 2,2,0,  90, 10 }
collider {  160, 301,  -590,   330, 35,35,35, 3,1,0,  90, 10 }
collider {  180, 301,   240,    90, 30,40,35, 1,0,2, 115, 10 }
collider {  220, 301,   540,   280, 55,60,50, 2,0,2, 150, 10 }
collider {  280, 301,  -280,  -160, 30,40,35, 0,2,1, 115, 10 }
collider {  320, 301,   440,   320, 40,35,35, 1,1,0, 115, 10 }
collider {  360, 301,  -180,   250, 70,65,60, 1,3,0, 170, 10 }
collider {  410, 301,   210,    10, 50,45,40, 1,2,1, 145, 10 }
collider {  540, 301,   440,  -160, 45,50,50, 1,0,2, 120, 10 }
collider {  610, 301,  -310,  -200, 30,40,35, 1,0,0, 115, 10 }
collider {  690, 301,    80,   140, 50,55,45, 0,2,2, 130, 10 }
collider {  750, 301,   460,   -60, 30,40,35, 1,0,0, 115, 10 }
collider {  820, 301,  -160,   290, 55,55,50, 3,2,0, 135, 10 }
collider {  930, 301,   200,   130, 35,45,40, 2,1,0, 125, 10 }
collider { 1000, 301,   360,  -240, 60,70,65, 2,0,1, 155, 10 }
collider { 1040, 301,  -280,  -160, 30,40,35, 0,0,2, 115, 10 }
collider { 1090, 301,    60,   120, 40,40,45, 1,1,0, 120, 10 }
collider { 1120, 301,   220,   230, 40,45,45, 0,3,1, 120, 10 }
collider { 1210, 301,  -180,    60, 30,40,35, 3,0,0, 115, 10 }
collider { 1280, 301,  -300,  -130, 30,35,40, 2,1,0, 100, 10 }
collider { 1350, 301,   -60,   200, 50,45,40, 3,0,2, 150, 10 }
collider { 1420, 301,   190,   -50, 60,65,55, 1,0,3, 180, 10 }
collider { 1460, 301,   400,   150, 30,40,35, 0,1,2, 115, 10 }
collider { 1580, 301,    30,  -250, 40,45,45, 2,2,0, 135, 10 }
collider { 1610, 301,   130,   -50, 30,40,35, 0,2,1, 115, 10 }
collider { 1640, 301,  -240,   190, 30,40,35, 0,2,1, 115, 10 }
collider { 1710, 301,   280,   -20, 60,60,65, 1,0,2, 145, 10 }
collider { 1740, 301,    30,   220, 50,45,40, 1,2,0, 135, 10 }
collider { 1790, 301,   400,  -150, 30,40,35, 1,0,3, 115, 10 }
collider { 1840, 301,   -80,    50, 40,35,45, 2,1,0, 125, 10 }
collider { 1890, 301,   280,   210, 50,45,55, 3,2,0, 135, 10 }
collider { 1970, 301,  -320,  -180, 40,45,40, 0,1,1, 120, 10 }
collider { 2100, 301,   440,   240, 65,60,70, 0,1,3, 130, 10 }
collider { 2120, 301,  -120,   190, 25,30,35, 2,2,0,  90, 10 }
collider { 2160, 301,   590,  -330, 35,35,35, 3,1,0,  90, 10 }
collider { 2180, 301,  -240,   -90, 30,40,35, 1,0,2, 115, 10 }
collider { 2220, 301,  -540,  -280, 55,60,50, 2,0,2, 150, 10 }
collider { 2280, 301,   280,   160, 30,40,35, 0,2,1, 115, 10 }
collider { 2320, 301,  -440,  -320, 40,35,35, 1,1,0, 115, 10 }
collider { 2360, 301,   180,  -250, 70,65,60, 1,3,0, 170, 10 }
collider { 2410, 301,  -210,   -10, 50,45,40, 1,2,1, 145, 10 }
collider { 2540, 301,  -440,   160, 45,50,50, 1,0,2, 120, 10 }
collider { 2610, 301,   310,   200, 30,40,35, 1,0,0, 115, 10 }
collider { 2690, 301,   -80,  -140, 50,55,45, 0,2,2, 130, 10 }
collider { 2750, 301,  -460,    60, 30,40,35, 1,0,0, 115, 10 }
collider { 2820, 301,   160,  -290, 55,55,50, 3,2,0, 135, 10 }
collider { 2930, 301,  -200,  -130, 35,45,40, 2,1,0, 125, 10 }

; objects: cargo pods
;
collider {  245, 201,   230,  -120, 50,50,50, 9,6,0, 100, 25 }
collider {  540, 201,  -110,    90, 50,50,50, 7,0,8, 100, 25 }
collider {  930, 201,    60,  -310, 50,50,50, 0,7,8, 100, 25 }
collider { 1300, 201,   -90,   210, 50,50,50, 6,8,1, 100, 25 }
collider { 1690, 201,   360,   120, 50,50,50, 5,5,5, 100, 25 }
collider { 2220, 201,  -140,    40, 50,50,50, 0,6,9, 100, 25 }

; objects: large far asteroids
;
scenery {  140, 301, -1100,   750,  360,  380,  400,  0,2,1 }
scenery {  180, 301,  1600, -1450,  560,  600,  620,  0,4,1 }
scenery {  210, 301,  -400,  -950,  660,  680,  630,  3,0,2 }
scenery {  250, 301,    40,   850,  860,  880,  870,  5,0,0 }
scenery {  275, 301, -1940,   150,  960,  980,  970,  2,4,0 }
scenery {  280, 301,   800,    50,  140,  180,  160,  2,0,1 }
scenery {  330, 301,  -500, -1600,  400,  440,  420,  3,0,3 }
scenery {  370, 301, -1500,   600,  500,  540,  520,  1,0,2 }
scenery {  410, 301,  1800,  -350,  800,  840,  820,  4,0,1 }
scenery {  440, 301,  1300,  -150,  300,  340,  320,  1,0,1 }
scenery {  490, 301,   300,   850,  500,  540,  520,  2,0,2 }
scenery {  550, 301,  -200, -1150,  400,  440,  420,  5,0,0 }
scenery {  580, 301,  -340,  1280,  500,  540,  560,  3,3,0 }
scenery {  600, 301,  1100,   900,  400,  440,  420,  4,0,1 }
scenery {  675, 301,  -280,  -850,  860,  880,  870, -5,0,0 }
